RAW_WORD,NORMALIZED_WORD,FREQUENCY,RANK,MEANING_ID,WORD_TYPE,IS_KRAMA
dhèndhèng,DHENDHENG,12,1388,daging dikeringkan dengan bumbu tertentu,,
bebed,BEBED,12,1389,kain panjang yang dipakai pria,Kata Benda,
buntel,BUNTEL,12,1390,bungkus,Kata Kerja,
boga,BOGA,12,1391,pangan,Kata Benda,
cepèr,CEPER,12,1392,rata,,
geber,GEBER,12,1393,layar penutup panggung,Kata Kerja,
wales,WALES,12,1394,balas,Kata Kerja,
kléyang,KLEYANG,12,1395,melayang-layang,,
kemu,KEMU,12,1396,kumur,,
oncor,ONCOR,12,1397,obor,,
limpung,LIMPUNG,12,1398,ubi goring,,
werdi,WERDI,12,1399,arti,Kata Benda,
sambang,SAMBANG,12,1400,menjenguk,,
anggara,ANGGARA,12,1401,selasa,Kata Benda,
yamadipati,YAMADIPATI,12,1402,dewa kematian,Kata Benda,
panti,PANTI,11,1403,tempat,Kata Benda,
jajah,JAJAH,11,1404,menguasai wilayah negara lain,Kata Kerja,
kluthuk,KLUTHUK,11,1405,salah satu jenis buah jambu,,
umbul,UMBUL,11,1406,gambar,Kata Benda,
gaplek,GAPLEK,11,1407,singkong yang dikeringkan,Kata Benda,
marai,MARAI,11,1408,mengajarkan/ memberi tahu; berakibat,,
buntet,BUNTET,11,1409,buntu; tidak berongga,Kata Sifat,
sedhèrèk,SEDHEREK,11,1410,saudara,,
ombe,OMBE,11,1411,minum,Kata Kerja,
ucap,UCAP,11,1412,kata,Kata Kerja,
kemproh,KEMPROH,11,1413,jorok,,
jengkol,JENGKOL,11,1414,jering,Kata Benda,
kisinan,KISINAN,11,1415,malu (yang teramat sangat),Kata Sifat,
mlèrok,MLEROK,11,1416,mengalihkan pandangan/ melirik,,
cluluk,CLULUK,11,1417,"tiba-tiba berkata, nyeletuk",Kata Kerja,
getir,GETIR,11,1418,rasa antara pahit menusuk,Kata Sifat,
amem,AMEM,11,1419,melempem,Kata Sifat,
lumer,LUMER,11,1420,"halus, lembut seperti lumpur",Kata Sifat,
abyor,ABYOR,11,1421,bertebaran memenuhi (mis. bintang bertebaran memenuhi langit),Kata Sifat,
