Frequency Rank,Javanese,Indonesian,Part of Speech,IPA,Audio,example sentence 1,example sentence 2,Is Krama,note
407,welas,rasa kasihan,Kata Benda,,,,,,
408,rikat,cepat,,,,,,,
409,geger,punggung,Kata Benda,,,,,,
410,dhadha,dada,Kata Benda,,,,,,
411,jembar,luas,Kata Sifat,,,,,,
412,cilaka,celaka,Kata Sifat,,,,,,
413,sela,longgar,,,,,,,
414,bakul,"pedagang, penjual",Kata Benda,,,,,,
415,wurung,batal,Kata Keadaan,,,,,,
416,untu,gigi,Kata Benda,,,,,,
417,mriki,kemari; ke sini,,,,,,Krama,
418,balung,tulang,Kata Benda,,,,,,
419,bala,"pihak, teman, pasukan",Kata Benda,,,,,,
420,begawan,pendeta,Kata Benda,,,,,,
421,nadyan,"sanajan, meskipun",Kata Sifat,,,,,Krama,
422,larang,mahal,Kata Sifat,,,,,,
423,arang,jarang,Kata Keadaan,,,,,,
424,nyolong,mencuri,Kata Kerja,,,,,,
425,jaka,"jejaka, perjaka",Kata Sifat,,,,,,
426,bening,"jernih, transparan",Kata Sifat,,,,,,
427,padu,bertengkar,Kata Kerja,,,,,,
428,laki,Hubungan suami istri,,,,,,,
429,adi,bernilai tinggi; mempunyai kelebihan,Kata Sifat,,,,,,
430,wé,air,,,,,,,
431,ali-ali,cincin,Kata Benda,,,,,,
432,jamu,"obat tradisional jawa, jamu",Kata Benda,,,,,,
433,anom,muda,Kata Sifat,,,,,,
434,mréné,kemari; ke sini,,,,,,,
435,mabur,terbang,,,,,,,
436,budhal,berangkat,Kata Kerja,,,,,,
437,buri,belakang,Kata Keadaan,,,,,,
438,wangi,harum,Kata Sifat,,,,,,
439,pasa,"puasa, Ramadhan, bulan kesembilan kalender Jawa.",,,,,,,
440,purun,mau,,,,,,Krama,
441,jaréné,"katanya, dengar-dengar (tentang rumor)",,,,,,,
442,rabi,nikah,,,,,,,
443,yekti,sungguh; benar,Kata Sifat,,,,,,
444,jawata,dewa,Kata Benda,,,,,,
445,jejer,"adegan dalam pagelaran wayang yang menggambarkan pertemuan raja, para punggawa serta keluarga istana; sebagai; adegan pertama dalam pewayangan; subjek, pelaku",Kata Benda,,,,,,
446,antuk,"dapat, mendapatkan, memperoleh; [[pikantuk",Kata Kerja,,,,,,
447,pitu,tujuh,Kata Benda,,,,,,
448,nyoba,mencoba,,,,,,,
449,lirih,pelan,,,,,,,
450,misuwur,tenar/ terkenal,,,,,,,
451,ngasta,membawa,Kata Kerja,,,,,Krama,
452,wilangan,bilangan,Kata Benda,,,,,,
453,wungu,bangun,Kata Kerja,,,,,,
454,dhusun,Kelompok masyarakat di bawah desa,,,,,,Krama,
455,waras,sehat,Kata Sifat,,,,,,
456,wanci,"saat, waktu",Kata Benda,,,,,,
457,wates,batas,Kata Benda,,,,,,
458,genah,gampang,Kata Benda,,,,,,
